Id,SalePrice
1461,130674.44049218568
1462,181105.50394485056
1463,157496.7738619926
1464,171556.65818122527
1465,206028.25530839455
1466,166198.52384749838
1467,164885.92843230753
1468,157385.4806712714
1469,193158.47596618082
1470,110908.39215011238
1471,192551.77711871488
1472,123774.88663644296
1473,107856.05932843809
1474,139355.16581711665
1475,146481.7116981892
1476,326080.05764576653
1477,244657.24800451667
1478,294481.71747420443
1479,274449.16294356436
1480,426091.7654373857
1481,293243.39279560745
1482,216001.67076791715
1483,190611.26199993258
1484,174008.03384823247
1485,181871.34341182339
1486,188270.7696354063
1487,306412.80077843403
1488,229670.73786937495
1489,196898.82425020126
1490,189939.3738627207
1491,198327.3943875944
1492,120390.34909035674
1493,176892.02904649722
1494,268320.5696255828
1495,260525.52839533734
1496,194944.12294332462
1497,176051.70105607828
1498,168423.83259617555
1499,167032.96269359454
1500,145556.23435689483
1501,145142.7074398121
1502,154583.4567099983
1503,273033.9923878738
1504,239553.6861378746
1505,214095.779540069
1506,188811.58074100534
1507,199434.69329197973
1508,204717.88912727486
1509,159688.80033838787
1510,153287.499752488
1511,139377.77654897977
1512,152230.36091754495
1513,165897.02959705197
1514,138861.42823383928
1515,152979.15787859895
1516,171539.79886686616
1517,161404.27051261268
1518,117651.82718079233
1519,209546.20558276487
1520,130980.37458101792
1521,140810.26908758713
1522,166363.8508405009
1523,108607.63059507684
1524,127742.03774462329
1525,131853.4674263526
1526,135815.18975516045
1527,97714.39582081413
1528,146657.32639691068
1529,130382.49334110845
1530,171352.96307213986
1531,102372.65202603508
1532,113355.5157538973
1533,129492.85349178447
1534,136480.05003255227
1535,149321.83502380113
1536,122908.74947259687
1537,75838.8155347821
1538,215089.73651263726
1539,200058.36140841592
1540,112974.28260875332
1541,145702.505743402
1542,128778.85322231872
1543,180236.66777772986
1544,95124.24970335123
1545,131954.85617815846
1546,131476.74342107892
1547,122520.06927719421
1548,141206.21145995965
1549,114443.37716580585
1550,125151.89183115566
1551,140106.83303912965
1552,113027.48102435462
1553,153716.4905801438
1554,125353.83265091525
1555,172032.98612988737
1556,121466.72642543442
1557,134375.13473677853
1558,129158.25805868824
1559,105687.3924795989
1560,110779.27194681467
1561,118701.55883286432
1562,120973.53124912966
1563,125296.86809125028
1564,140463.8406168483
1565,138009.86429483158
1566,235469.91222619617
1567,100272.86013576994
1568,207822.6138055993
1569,117066.9253644145
1570,147144.83547395043
1571,111025.6452150711
1572,137190.23812339077
1573,229139.2288280595
1574,148591.1852681222
1575,236434.92394853232
1576,189553.96025611847
1577,183097.68169451074
1578,154039.6258392295
1579,136135.98219467577
1580,189009.80221813242
1581,149199.06034721955
1582,122212.39479582048
1583,275942.95581049344
1584,203390.88134470256
1585,139624.42462501
1586,79503.27580442697
1587,115582.33380980842
1588,141030.4533555325
1589,110597.31014296647
1590,144019.59973570376
1591,103226.70841641037
1592,119877.97737633597
1593,135290.77092188236
1594,93936.50630965165
1595,140082.82782215477
1596,202039.65967243482
1597,131054.39844171886
1598,204509.43481120592
1599,189588.5695652719
1600,197847.6958797342
1601,72566.3046353087
1602,139060.87390238547
1603,98493.12270765904
1604,228661.9967285186
1605,240068.26650939
1606,167685.9497738448
1607,161032.60087335788
1608,203240.10076927656
1609,186967.77911526672
1610,130362.64890335845
1611,143599.98667896222
1612,147269.66466727442
1613,150085.4576466651
1614,117307.0795471579
1615,95761.02274699887
1616,93207.56371736946
1617,94392.30642976199
1618,120339.54772690158
1619,135656.09847276396
1620,127632.82081472834
1621,131543.916636273
1622,139300.15334126446
1623,257928.29807098242
1624,213882.17024979444
1625,151293.43046218425
1626,172727.844764066
1627,172570.77164317426
1628,252307.6031834751
1629,177269.958395842
1630,290307.31124084233
1631,222694.20162131358
1632,237007.59487660349
1633,170112.11949607314
1634,164591.13594836957
1635,158499.00072516018
1636,152358.23649591426
1637,165686.2013551555
1638,219286.4605091178
1639,181223.5972147653
1640,229743.55695711184
1641,171564.85164695146
1642,189959.01249109424
1643,228261.70770028752
1644,224051.72466595971
1645,154408.015420123
1646,158286.68221568048
1647,186570.231524107
1648,131688.08687800035
1649,128812.31088561645
1650,107426.76575959659
1651,108664.07134861631
1652,122085.82787475524
1653,121321.72085688825
1654,138335.4485143469
1655,157100.02938712455
1656,139347.15592948126
1657,138778.88229044006
1658,138446.6336322784
1659,150007.75065313964
1660,142341.8736048158
1661,364356.8200176753
1662,346067.2742529523
1663,339144.46104403445
1664,470847.84083599946
1665,302238.36455030466
1666,299911.04736273404
1667,371884.9047955669
1668,298015.3691210927
1669,286034.07870565605
1670,316225.81254828087
1671,253739.05382455626
1672,398550.6242671628
1673,257888.69227095565
1674,240792.149997653
1675,167237.15740445303
1676,162619.61585530968
1677,203532.09215670105
1678,497257.33936740324
1679,318341.7136334376
1680,296446.4250530939
1681,251593.2590813257
1682,308082.84515541134
1683,178131.49749470194
1684,182076.09511431502
1685,155111.42757449558
1686,168191.60453450534
1687,169247.7174977647
1688,184718.53024672184
1689,191871.58401674492
1690,188351.0229349615
1691,180027.5900664484
1692,241330.6929678464
1693,170431.2875500488
1694,161614.69637522378
1695,164219.28463218873
1696,235928.65322011666
